Species,Long,Lat ,MSB:Mamm:196608
C c merriami,-105.696621,32.89486,15158001
C c merriami,-105.695594,32.919666,31212477
C c merriami,-105.694897,32.82918,34695814
C c merriami,-105.692486,32.977704,3630746
C c merriami,-105.691971,32.90435,13759330
C c merriami,-105.691794,32.96147,31119803
C c merriami,-105.691457,32.801156,13824365
C c merriami,-105.689974,32.824611,15582947
C c merriami,-105.689906,32.950526,22710284
C c merriami,-105.689439,32.857298,29767573
C c merriami,-105.688877,32.844495,9271610
C c merriami,-105.688102,32.968338,15157935
C c merriami,-105.68743,32.812552,14418512
C c merriami,-105.686087,32.993135,21102758
C c merriami,-105.685976,32.910142,12218274
C c merriami,-105.684827,32.990128,33378787
C c merriami,-105.684728,32.713885,33177596
C c merriami,-105.682949,32.940149,30026698
C c merriami,-105.682567,32.992408,30337642
C c merriami,-105.682218,33.220535,36006093
C c merriami,-105.682205,32.835794,15188388
C c merriami,-105.681739,32.991388,25783873
C c merriami,-105.68022,32.998792,10638398
C c merriami,-105.680065,32.894753,13581428
C c merriami,-105.679747,33.352476,4376446
C c merriami,-105.679743,32.880028,40008661
C c merriami,-105.679102,32.833986,29767489
C c merriami,-105.679076,32.952793,15188246
C c merriami,-105.6778,33.165457,14348048
C c merriami,-105.677506,32.859928,29322955
C c merriami,-105.677264,32.859823,13506013
C c merriami,-105.677162,32.838058,30025467
C c merriami,-105.67668,32.805885,14120485
C c merriami,-105.675735,32.837082,12564202
C c merriami,-105.675685,33.117108,21766727
C c merriami,-105.675413,32.904563,15584494
C c merriami,-105.675374,32.8406,30045795
C c merriami,-105.672618,32.892238,31234408
C c merriami,-105.672612,32.934942,33411469
C c merriami,-105.672245,32.87659,15723718
C c merriami,-105.672245,32.816095,14385521
C c merriami,-105.67186,32.804341,34713703
C c merriami,-105.668,32.806752,32464379
C c merriami,-105.66771,32.976414,25656165
C c merriami,-105.667558,32.815325,10638412
C c merriami,-105.667239,32.854695,24565105
C c merriami,-105.66583,32.800508,34813361
C c merriami,-105.664942,32.916762,21858049
C c merriami,-105.664575,32.878988,13728202
C c merriami,-105.661498,32.909122,20146791
C c merriami,-105.661085,32.964375,16321840
C c merriami,-105.660986,32.97042,29783085
C c merriami,-105.660545,32.891656,15188350
C c merriami,-105.660335,32.94108,33530656
C c merriami,-105.659907,32.991759,21136972
C c merriami,-105.659607,32.963785,13728222
C c merriami,-105.659056,32.81579,25783970
C c merriami,-105.65871,32.9836,30046055
C c merriami,-105.658418,32.665115,34394921
C c merriami,-105.658279,32.887177,20131871
C c merriami,-105.657944,33.056462,14339725
C c merriami,-105.657416,33.319832,17860782
C c merriami,-105.656185,32.823625,10697056
C c merriami,-105.654445,32.987455,14003430
C c merriami,-105.653997,32.956003,30082478
C c merriami,-105.651046,33.184494,14348209
C c merriami,-105.649716,32.961064,31181614
